# Time, p, Ux, Uy, Uz, e
2.616360000000000137e-05 6.227224000000000308e-07 9.255530999999999686e-08 3.404658999999999984e-03 7.609916999999999599e-06 2.388118999999999945e-06
2.633539999999999861e-05 6.170010000000000071e-07 9.232269999999999594e-08 1.637573999999999931e-03 7.680001999999999792e-06 2.342380999999999910e-06
2.650719999999999924e-05 6.112832999999999585e-07 9.221802000000000536e-08 1.057622999999999940e-03 7.754156000000000709e-06 2.298498999999999862e-06
2.667889999999999964e-05 6.058163000000000327e-07 9.197388000000000169e-08 7.837809999999999959e-04 7.827671000000000292e-06 2.255561000000000036e-06
2.685049999999999983e-05 6.007584000000000070e-07 9.185206999999999671e-08 6.162207000000000275e-04 7.902928000000000104e-06 2.215264999999999872e-06
2.702210000000000002e-05 5.959696000000000402e-07 9.162230000000000113e-08 5.080078999999999715e-04 7.980797000000000019e-06 2.176275999999999999e-06
2.719370000000000020e-05 5.911898000000000042e-07 9.147295000000000516e-08 4.319791999999999924e-04 8.062892000000000119e-06 2.139180999999999890e-06
2.736509999999999995e-05 5.865212000000000520e-07 9.123838000000000149e-08 3.787643000000000151e-04 8.150186000000000372e-06 2.103756999999999956e-06
2.753659999999999992e-05 5.820902999999999696e-07 9.110255000000000073e-08 3.368334999999999862e-04 8.243931000000000606e-06 2.070600999999999947e-06
2.770789999999999945e-05 5.776513999999999841e-07 9.088275999999999688e-08 3.020888000000000002e-04 8.338798000000000049e-06 2.037782000000000135e-06
2.787919999999999897e-05 5.732792999999999578e-07 9.074402000000000155e-08 2.734985000000000107e-04 8.435551000000000307e-06 2.006165999999999860e-06
2.805049999999999850e-05 5.689893999999999559e-07 9.055350000000000416e-08 2.500061000000000254e-04 8.533252000000000475e-06 1.975440000000000013e-06
2.822170000000000120e-05 5.647130999999999482e-07 9.044344000000000589e-08 2.297106999999999892e-04 8.634664999999999769e-06 1.946014000000000051e-06
2.839280000000000029e-05 5.603046000000000183e-07 9.028600000000000524e-08 2.124907999999999951e-04 8.738710999999999959e-06 1.917623000000000071e-06
2.856389999999999938e-05 5.561173999999999714e-07 9.019795000000000201e-08 1.980893000000000009e-04 8.850936000000000396e-06 1.891339000000000019e-06
2.873490000000000164e-05 5.520187000000000380e-07 9.007299000000000537e-08 1.858424000000000013e-04 8.970742000000000245e-06 1.866388999999999945e-06
2.890590000000000051e-05 5.479684999999999612e-07 8.997811000000000208e-08 1.748510999999999902e-04 9.098273999999999484e-06 1.842397000000000057e-06
2.907679999999999916e-05 5.441294000000000364e-07 8.986434000000000568e-08 1.654353000000000117e-04 9.232283999999999239e-06 1.820217000000000000e-06
2.924760000000000098e-05 5.405845999999999979e-07 8.978038000000000259e-08 1.569475999999999879e-04 9.372554999999999239e-06 1.799310999999999958e-06
2.941839999999999942e-05 5.369595000000000510e-07 8.966050999999999399e-08 1.493413000000000130e-04 9.517140000000000159e-06 1.779134999999999950e-06
2.958910000000000102e-05 5.334953999999999955e-07 8.956649000000000014e-08 1.427098999999999870e-04 9.671989999999999193e-06 1.759974000000000007e-06
2.975979999999999923e-05 5.301404999999999686e-07 8.943899000000000115e-08 1.368141000000000019e-04 9.837135000000000134e-06 1.742028999999999961e-06
2.993040000000000061e-05 5.269330000000000505e-07 8.933747999999999537e-08 1.312750000000000061e-04 1.001230000000000068e-05 1.725397999999999976e-06
3.010089999999999839e-05 5.239530999999999988e-07 8.922270000000000127e-08 1.264174000000000070e-04 1.019564000000000052e-05 1.710030999999999942e-06
3.027129999999999933e-05 5.211503000000000076e-07 8.907777999999999470e-08 1.219720999999999973e-04 1.038515000000000000e-05 1.695080999999999983e-06
3.044170000000000027e-05 5.184189000000000392e-07 8.903166999999999350e-08 1.178232999999999939e-04 1.058385000000000032e-05 1.681525999999999992e-06
3.061199999999999761e-05 5.157184000000000343e-07 8.881084000000000224e-08 1.137673999999999977e-04 1.079349000000000023e-05 1.667912000000000066e-06
3.078219999999999812e-05 5.129362000000000188e-07 8.878244000000000180e-08 1.100562000000000052e-04 1.101861999999999955e-05 1.655854000000000105e-06
3.095219999999999818e-05 5.103564000000000422e-07 8.852786000000000535e-08 1.066306000000000019e-04 1.125877999999999997e-05 1.643954000000000058e-06
3.112219999999999825e-05 5.077031999999999877e-07 8.849256999999999895e-08 1.034614999999999987e-04 1.150841000000000049e-05 1.632676000000000028e-06
3.129209999999999810e-05 5.051924000000000100e-07 8.822314000000000022e-08 1.005670999999999947e-04 1.176767000000000045e-05 1.621806000000000037e-06
3.146189999999999772e-05 5.026886000000000138e-07 8.816007000000000574e-08 9.794045000000000517e-05 1.203425999999999987e-05 1.611656000000000016e-06
3.163159999999999713e-05 5.001949999999999603e-07 8.790940000000000499e-08 9.560868000000000361e-05 1.230619000000000016e-05 1.602329000000000054e-06
3.180120000000000310e-05 4.977007999999999537e-07 8.780361999999999463e-08 9.354503000000000178e-05 1.259016000000000077e-05 1.593173999999999970e-06
3.197060000000000185e-05 4.952669999999999839e-07 8.759322999999999614e-08 9.162311999999999497e-05 1.288724999999999931e-05 1.585372999999999991e-06
3.213990000000000038e-05 4.929975999999999570e-07 8.748274999999999633e-08 8.988430000000000269e-05 1.320331000000000014e-05 1.577738999999999964e-06
3.230909999999999869e-05 4.907305999999999539e-07 8.724530000000000105e-08 8.820189999999999996e-05 1.353312999999999963e-05 1.571039999999999912e-06
3.247819999999999679e-05 4.883375999999999669e-07 8.714633999999999418e-08 8.663233000000000272e-05 1.387777000000000079e-05 1.563469999999999957e-06
3.264710000000000122e-05 4.860118999999999529e-07 8.690870999999999446e-08 8.520145000000000398e-05 1.423532000000000044e-05 1.557504000000000021e-06
3.281589999999999865e-05 4.837071000000000499e-07 8.680191999999999963e-08 8.384984999999999476e-05 1.460646000000000042e-05 1.551035999999999993e-06
3.298450000000000242e-05 4.816050000000000036e-07 8.664199000000000595e-08 8.255610999999999451e-05 1.499511000000000050e-05 1.546301999999999972e-06
3.315299999999999920e-05 4.796690000000000318e-07 8.645110999999999968e-08 8.136856999999999673e-05 1.540455999999999876e-05 1.541596999999999904e-06
3.332130000000000232e-05 4.776006000000000475e-07 8.635421000000000097e-08 8.016219999999999628e-05 1.583197000000000150e-05 1.537425999999999966e-06
3.348949999999999844e-05 4.754592999999999990e-07 8.607760999999999967e-08 7.897304999999999429e-05 1.627700000000000018e-05 1.533014999999999967e-06
3.365750000000000089e-05 4.733715999999999902e-07 8.600236000000000037e-08 7.776232000000000055e-05 1.674071000000000120e-05 1.529416999999999963e-06
3.382530000000000291e-05 4.714493999999999970e-07 8.569447999999999378e-08 7.656879000000000387e-05 1.722536000000000003e-05 1.526758000000000045e-06
3.399289999999999772e-05 4.697173999999999918e-07 8.558324999999999974e-08 7.535637000000000032e-05 1.773077999999999831e-05 1.524831000000000004e-06
3.416039999999999908e-05 4.682884999999999783e-07 8.527897999999999909e-08 7.415586000000000324e-05 1.825572000000000010e-05 1.524282999999999912e-06
3.432759999999999978e-05 4.670032000000000005e-07 8.514086999999999945e-08 7.301935999999999811e-05 1.880095000000000166e-05 1.523898999999999900e-06
3.449470000000000026e-05 4.657933999999999892e-07 8.485283000000000424e-08 7.192391000000000506e-05 1.936388000000000136e-05 1.524636999999999943e-06
3.466170000000000053e-05 4.644961999999999900e-07 8.466954999999999864e-08 7.091523999999999766e-05 1.994266999999999926e-05 1.524799999999999995e-06
3.482840000000000014e-05 4.632294999999999857e-07 8.442446999999999973e-08 6.998830000000000209e-05 2.053814999999999919e-05 1.526300999999999924e-06
3.499489999999999930e-05 4.619078999999999906e-07 8.418974999999999457e-08 6.904525000000000441e-05 2.115057999999999901e-05 1.527054999999999985e-06
